variant	canonical	tags	note
舅外公	外舅祖父	colloquial	maternal-line grand-uncle (R0007 pattern)
舅外婆	外舅祖母	colloquial	maternal-line grand-aunt
妗姥姥	外舅祖母	colloquial;north	maternal-line grand-aunt
妗姥娘	外舅祖母	dialect;north	maternal-line grand-aunt
妗姥	外舅祖母	dialect;north	maternal-line grand-aunt
外妗婆	外舅祖母	dialect	maternal-line grand-aunt
姨外婆	外姨祖母	colloquial	maternal-line grand-aunt
姨外公	外姨祖父	colloquial	maternal-line grand-uncle-in-law
外姨丈公	外姨祖父	dialect;min-yue	maternal-line grand-uncle-in-law
九世孙	8代孙	literary;count-alias	世-count = 代-count + 1
十世孙	9代孙	literary;count-alias	世-count = 代-count + 1
十一世孙	10代孙	literary;count-alias	世-count = 代-count + 1
十二世孙	11代孙	literary;count-alias	世-count = 代-count + 1
祖公父	祖父	spouse-side;suicheng	husband's grandfather (隨夫稱)
祖公	祖父	spouse-side;suicheng	husband's grandfather (隨夫稱)
祖公公	祖父	spouse-side;suicheng	husband's grandfather (隨夫稱)
祖翁	祖父	spouse-side;literary	husband's grandfather (隨夫稱)
奶公父	祖父	spouse-side;north	husband's grandfather (隨夫稱)
祖岳父	岳祖父	spouse-side;yue-form	wife's grandfather
太岳父	岳祖父	spouse-side;yue-form	wife's grandfather
奶岳父	岳祖父	spouse-side;north	wife's grandfather
祖丈人	岳祖父	spouse-side	wife's grandfather
爷丈人	岳祖父	spouse-side;north	wife's grandfather
奶爷丈人	岳祖父	spouse-side;north	wife's grandfather
奶丈爷	岳祖父	spouse-side;north	wife's grandfather
奶丈人	岳祖父	spouse-side;north	wife's grandfather
祖婆母	祖母	spouse-side;suicheng	husband's grandmother (隨夫稱)
祖婆	祖母	spouse-side;suicheng	husband's grandmother (隨夫稱)
祖婆婆	祖母	spouse-side;suicheng	husband's grandmother (隨夫稱)
奶婆母	祖母	spouse-side;north	husband's grandmother (隨夫稱)
祖岳母	岳祖母	spouse-side;yue-form	wife's grandmother
太岳母	岳祖母	spouse-side;yue-form	wife's grandmother
奶岳母	岳祖母	spouse-side;north	wife's grandmother
祖丈母	岳祖母	spouse-side	wife's grandmother
祖丈母娘	岳祖母	spouse-side	wife's grandmother
奶丈母娘	岳祖母	spouse-side;north	wife's grandmother
奶丈姥	岳祖母	spouse-side;north	wife's grandmother
奶丈母	岳祖母	spouse-side;north	wife's grandmother
老丈姥	岳祖母	spouse-side;north	wife's grandmother
老丈娘	岳外祖母	spouse-side;north	wife's maternal grandmother
曾祖公父	曾祖父	spouse-side;suicheng	husband's great-grandfather
曾祖公	曾祖父	spouse-side;suicheng	husband's great-grandfather
太公翁	曾祖父	spouse-side;literary	husband's great-grandfather
曾祖岳父	岳曾祖父	spouse-side;yue-form	wife's great-grandfather
曾祖丈人	岳曾祖父	spouse-side	wife's great-grandfather
太爷丈人	岳曾祖父	spouse-side;north	wife's great-grandfather
祖爷丈人	岳曾祖父	spouse-side;north	wife's great-grandfather
曾祖婆母	曾祖母	spouse-side;suicheng	husband's great-grandmother
曾祖婆	曾祖母	spouse-side;suicheng	husband's great-grandmother
太奶亲	曾祖母	spouse-side;north	husband's great-grandmother
曾祖岳母	岳曾祖母	spouse-side;yue-form	wife's great-grandmother
曾祖丈母	岳曾祖母	spouse-side	wife's great-grandmother
曾祖丈母娘	岳曾祖母	spouse-side	wife's great-grandmother
祖奶丈母娘	岳曾祖母	spouse-side;north	wife's great-grandmother
太奶丈母娘	岳曾祖母	spouse-side;north	wife's great-grandmother
伯曾祖公父	伯曾祖父	spouse-side;suicheng	husband's collateral great-grandfather
伯曾祖公	伯曾祖父	spouse-side;suicheng	husband's collateral great-grandfather
太伯翁	伯曾祖父	spouse-side;literary	husband's collateral great-grandfather
伯曾祖婆母	伯曾祖母	spouse-side;suicheng	husband's collateral great-grandmother
伯曾祖婆	伯曾祖母	spouse-side;suicheng	husband's collateral great-grandmother
太姆婆	伯曾祖母	spouse-side;dialect	husband's collateral great-grandmother
叔曾祖公父	叔曾祖父	spouse-side;suicheng	husband's collateral great-grandfather
叔曾祖公	叔曾祖父	spouse-side;suicheng	husband's collateral great-grandfather
太叔翁	叔曾祖父	spouse-side;literary	husband's collateral great-grandfather
叔曾祖婆母	叔曾祖母	spouse-side;suicheng	husband's collateral great-grandmother
叔曾祖婆	叔曾祖母	spouse-side;suicheng	husband's collateral great-grandmother
太婶婆	叔曾祖母	spouse-side;dialect	husband's collateral great-grandmother
姑曾祖婆母	姑曾祖母	spouse-side;suicheng	husband's collateral great-grandaunt
姑曾祖婆	姑曾祖母	spouse-side;suicheng	husband's collateral great-grandaunt
姑曾祖公父	姑曾祖父	spouse-side;suicheng	husband's collateral great-granduncle
曾外祖公父	曾外祖父	spouse-side;suicheng	husband's maternal great-grandfather
曾外祖公	曾外祖父	spouse-side;suicheng	husband's maternal great-grandfather
曾外祖岳父	岳曾外祖父	spouse-side;yue-form	wife's maternal great-grandfather
曾外祖丈人	岳曾外祖父	spouse-side	wife's maternal great-grandfather
太姥爷丈	岳曾外祖父	spouse-side;north	wife's maternal great-grandfather
曾外祖婆母	曾外祖母	spouse-side;suicheng	husband's maternal great-grandmother
曾外祖婆	曾外祖母	spouse-side;suicheng	husband's maternal great-grandmother
曾外祖岳母	岳曾外祖母	spouse-side;yue-form	wife's maternal great-grandmother
曾外祖丈母	岳曾外祖母	spouse-side	wife's maternal great-grandmother
曾外祖丈母娘	岳曾外祖母	spouse-side	wife's maternal great-grandmother
外祖公父	外祖父	spouse-side;suicheng	husband's maternal grandfather
毑公父	外祖父	spouse-side;xiang	husband's maternal grandfather
外祖公	外祖父	spouse-side;suicheng	husband's maternal grandfather
外祖公公	外祖父	spouse-side;suicheng	husband's maternal grandfather
姥公父	外祖父	spouse-side;north	husband's maternal grandfather
姥公	外祖父	spouse-side;north	husband's maternal grandfather
外祖岳父	岳外祖父	spouse-side;yue-form	wife's maternal grandfather
毑岳父	岳外祖父	spouse-side;xiang	wife's maternal grandfather
外祖丈人爹	岳外祖父	spouse-side	wife's maternal grandfather
外祖丈人	岳外祖父	spouse-side	wife's maternal grandfather
外太岳父	岳外祖父	spouse-side	wife's maternal grandfather
姥岳父	岳外祖父	spouse-side;north	wife's maternal grandfather
姥丈爷	岳外祖父	spouse-side;north	wife's maternal grandfather
姥丈人	岳外祖父	spouse-side;north	wife's maternal grandfather
姥丈人爹	岳外祖父	spouse-side;north	wife's maternal grandfather
姥爷丈人	岳外祖父	spouse-side;north	wife's maternal grandfather
外祖婆母	外祖母	spouse-side;suicheng	husband's maternal grandmother
毑婆母	外祖母	spouse-side;xiang	husband's maternal grandmother
外祖婆	外祖母	spouse-side;suicheng	husband's maternal grandmother
外祖婆婆	外祖母	spouse-side;suicheng	husband's maternal grandmother
姥婆母	外祖母	spouse-side;north	husband's maternal grandmother
姥婆	外祖母	spouse-side;north	husband's maternal grandmother
外祖岳母	岳外祖母	spouse-side;yue-form	wife's maternal grandmother
毑岳母	岳外祖母	spouse-side;xiang	wife's maternal grandmother
外祖丈母娘	岳外祖母	spouse-side	wife's maternal grandmother
外祖丈母	岳外祖母	spouse-side	wife's maternal grandmother
外太岳母	岳外祖母	spouse-side	wife's maternal grandmother
姥岳母	岳外祖母	spouse-side;north	wife's maternal grandmother
姥丈姥	岳外祖母	spouse-side;north	wife's maternal grandmother
姥丈母	岳外祖母	spouse-side;north	wife's maternal grandmother
姥丈母娘	岳外祖母	spouse-side;north	wife's maternal grandmother
外曾祖公父	外曾祖父	spouse-side;suicheng	husband's deep maternal ancestor
外曾祖公	外曾祖父	spouse-side;suicheng	husband's deep maternal ancestor
外曾祖岳父	岳外曾祖父	spouse-side;yue-form	wife's deep maternal ancestor
外曾祖丈人	岳外曾祖父	spouse-side	wife's deep maternal ancestor
外曾祖婆母	外曾祖母	spouse-side;suicheng	husband's deep maternal ancestor
外曾祖婆	外曾祖母	spouse-side;suicheng	husband's deep maternal ancestor
外曾祖岳母	岳外曾祖母	spouse-side;yue-form	wife's deep maternal ancestor
外曾祖丈母	岳外曾祖母	spouse-side	wife's deep maternal ancestor
外曾外祖公父	外曾外祖父	spouse-side;suicheng	husband's deep maternal ancestor
外曾外祖公	外曾外祖父	spouse-side;suicheng	husband's deep maternal ancestor
外曾外祖岳父	岳外曾外祖父	spouse-side;yue-form	wife's deep maternal ancestor
外曾外祖丈人	岳外曾外祖父	spouse-side	wife's deep maternal ancestor
外曾外祖婆母	外曾外祖母	spouse-side;suicheng	husband's deep maternal ancestor
外曾外祖婆	外曾外祖母	spouse-side;suicheng	husband's deep maternal ancestor
外曾外祖岳母	岳外曾外祖母	spouse-side;yue-form	wife's deep maternal ancestor
外曾外祖丈母	岳外曾外祖母	spouse-side	wife's deep maternal ancestor
外曾外祖丈母娘	岳外曾外祖母	spouse-side	wife's deep maternal ancestor
族婶	族叔母	colloquial	graded junior spouse (嬸=叔母)
从婶	从叔母	colloquial	graded junior spouse (嬸=叔母)
